metric,baseline,postprocessed,delta_post_minus_base
accuracy,0.898,0.6587333333333333,-0.23926666666666674
precision,0.5476190476190477,0.17426443879404285,-0.3733546088250048
recall,0.007506527415143603,0.6263054830287206,0.618798955613577
f1,0.014810045074050225,0.27266268826371126,0.25785264318966106
roc_auc,0.7510834234479795,0.7510834234479795,0.0
demographic_parity_difference,0.00260950605778192,0.01205597964888222,0.009446473591100301
demographic_parity_ratio,0.0,0.967724605888004,0.967724605888004
equalized_odds_difference,0.00969237252423093,0.054605508302215555,0.04491313577798463
equalized_odds_ratio,0.0,0.8874793123641127,0.8874793123641127
